date,input_flow1,input_viscosity,dilute_dmf,SL_temp,SL_1st_flow,SL_2nd_flow,SL_3rd_flow,CDL_1st_temp,CDL_2nd_temp,CDL_3rd_temp,TOP_temp,vacuum,Luwa_amp,Stamo_amp,output_viscosity,total_flow,dilute_ratio
2019-03-04 12:00:00,1799.2960239,32.284821887999996,262.90286625,131.83185999000003,59.88781333000001,85.05942635099998,65.0,89.97455987,103.65759683000002,108.72870680000001,80.348426525,110.02202661000001,10.121323828000001,18.852158052999997,206.7106733,1799.2960239,6.843957426424597
2019-03-04 12:10:00,1799.3945067,32.246559855,263.10840115999997,131.83396136999997,59.894071999999994,85.162736523,65.0,90.03977720200001,103.77618678000002,108.7381507,80.363016225,109.92296518,10.195000338999998,18.852500188,206.4703487,1799.3945067,6.838985371682459
2019-03-04 12:20:00,1787.561576,32.208297822,263.3139360800001,131.83606276,59.90033067,85.17502076999999,65.0,90.104994533,103.73073367999999,108.7475947,80.377605925,110.05611142000001,10.196665911999997,18.809506216000003,206.7821352,1787.561576,6.788708575822978
2019-03-04 12:30:00,1751.5453356000003,32.17003578799999,263.51947099999995,131.83816414999998,59.906589340000004,85.12102815300001,65.0,90.17038407800001,103.6999969,108.75703860000002,80.39219562499999,110.02447423999999,10.249829749,18.829696128000002,207.184841,1751.5453356000003,6.6467397226977605
2019-03-04 12:40:00,1750.4214525,32.136561393,263.72500593,131.84026553,59.91284800999999,85.112444614,65.0,90.335256999,103.6999969,108.76648259999999,80.42879108600002,110.06052581000002,10.307828292999998,18.872128812999996,210.4442292,1750.4214525,6.637297992760727
2019-03-04 12:50:00,1750.0489478000004,32.116269579999994,263.93054085,131.84236692,59.919106680000006,84.8585434,65.0,90.58421944499999,103.6999969,108.7759265,80.49061653999999,109.93167214,10.387836042,18.970831306,212.86014269999995,1750.0489478000004,6.630717847824243
2019-03-04 13:00:00,1748.2396973,32.096738572,264.13607575,131.84446831,59.92536535000001,84.986742079,65.0,90.833181895,103.6999969,108.7853705,80.55247098999999,110.04038913,10.428325032999998,19.056333765999998,217.791583,1748.2396973,6.618708528685333
2019-03-04 13:10:00,1748.084741,32.07720757,264.3416106700001,131.84656968999997,59.93162402,84.96335205799997,65.0,91.082083231,103.6999969,108.79481439999999,80.61432543999999,109.99985884999998,10.483174796,19.188837807000002,220.83261439999998,1748.084741,6.6129760523487215
2019-03-04 13:20:00,1748.2387507000003,32.057676566,264.54714559,131.84867108,59.93788269,84.81996359899999,65.0,91.240305787,103.70043612999999,108.80425839,80.675689753,110.13369126,10.515671054999999,19.282994478,222.9383214,1748.2387507000003,6.608420388740283
2019-03-04 13:30:00,1750.3154973999997,32.03814556,264.75268052,131.85077246999998,59.94414136,84.95901275399999,65.0,91.316847616,103.72809973999999,108.8137023,80.69241288599999,110.00206332999998,10.590824850999999,19.280003875,222.9850849,1750.3154973999997,6.61113418743187
2019-03-04 13:40:00,1753.3120186,32.01861456,265.03170025,131.85287385000004,59.950400030000004,84.92531820600001,65.0,91.39338944400001,103.77189960000001,108.82314629,80.68008007400002,110.00713210999997,10.647337193,19.279166583,220.65993419999998,1753.3120186,6.615480400820468
2019-03-04 13:50:00,1748.1893509000001,31.99908355,266.49383552,131.85497524,59.956658700000006,84.972935488,65.0,91.469931273,103.75098258,108.8325902,80.667747262,110.00245335,10.704166341,19.248335276,219.2694825,1748.1893509000001,6.559961687251865
2019-03-04 14:00:00,1751.9269133999999,31.97955255,268.36885662,131.85707663,59.96291737,85.02055277,65.0,91.546473101,103.63944988,108.84203419000002,80.655414449,109.98419657,10.793172015000001,19.225329623999997,215.4051406,1751.9269133999999,6.528055958000601
2019-03-04 14:10:00,1750.1107932,31.960021544000007,269.88490946,131.85917801,59.96917604,85.06817005,65.0,91.62301493,103.75683132000002,108.85147809999998,80.643081637,109.90092965,10.879839316000002,19.147836396,213.1001682,1750.1107932,6.484655984292393
2019-03-04 14:20:00,1751.079812,31.940490540000003,270.07519909999996,131.8612794,59.97543471,85.05217397300001,65.0,91.699556759,103.94315816999999,108.86092208999999,80.63074882499998,109.92911390000002,10.907832197,19.033641724,211.2452363,1751.079812,6.483674983246546
2019-03-04 14:30:00,1750.3007302,31.920959537999998,270.1417431,131.86338079,59.98169338000001,84.918420045,65.0,91.77609858699999,104.05912040999999,108.87036599999999,80.61841601400002,109.96992990000001,10.986160148,19.001701661,212.1036547,1750.3007302,6.479193885826378
2019-03-04 14:40:00,1749.0016259,31.901428529999997,270.20828706000003,131.86548218,59.987952050000004,84.972220088,65.0,91.85264041600001,103.9396254,108.87980999000001,80.60608320200001,109.95516031999998,11.0306601,19.025495344,213.330279,1749.0016259,6.472790471861554
2019-03-04 14:50:00,1750.5809444000001,31.881897530000003,270.27483100000006,131.86758355999999,59.99421072,84.98913563900001,65.0,91.929182243,103.83419013999999,108.8892539,80.593750388,109.81050105000001,11.099847858999999,19.097165785999998,214.20332290000002,1750.5809444000001,6.477040196169801
